# Format matches Extraction version: V6.5 
# <?xml version="1.0" encoding="UTF-8"?>
# 
# <!-- generated on 2022-07-16 19:07:53 by Eclipse SUMO netconvert Version 1.14.0
# -->
# 
# <configuration xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:noNamespaceSchemaLocation="http://sumo.dlr.de/xsd/netconvertConfiguration.xsd">
# 
#     <input>
#         <sumo-net-file value="resources\gtfs\numerical.net.xml"/>
#     </input>
# 
#     <output>
#         <output-file value="resources\gtfs\bus.net.xml"/>
#         <dlr-navteq-output value="resources\gtfs\bus"/>
#         <dlr-navteq.precision value="0"/>
#         <output.street-names value="true"/>
#         <output.original-names value="true"/>
#     </output>
# 
#     <processing>
#         <numerical-ids value="true"/>
#         <dismiss-vclasses value="true"/>
#         <geometry.min-radius.fix.railways value="false"/>
#         <geometry.avoid-overlap value="false"/>
#         <geometry.max-grade.fix value="false"/>
#         <offset.disable-normalization value="true"/>
#         <lefthand value="false"/>
#     </processing>
# 
#     <edge_removal>
#         <keep-edges.by-type value="highway.living_street,highway.motorway,highway.motorway_link,highway.primary,highway.primary_link,highway.residential,highway.secondary,highway.tertiary,highway.tertiary_link,highway.trunk,highway.trunk_link,highway.unclassified"/>
#     </edge_removal>
# 
#     <junctions>
#         <no-internal-links value="true"/>
#         <no-turnarounds value="true"/>
#         <junctions.corner-detail value="0"/>
#         <junctions.limit-turn-speed value="5.5"/>
#         <rectangular-lane-cut value="false"/>
#     </junctions>
# 
#     <pedestrian>
#         <walkingareas value="false"/>
#     </pedestrian>
# 
#     <report>
#         <aggregate-warnings value="1"/>
#     </report>
# 
# </configuration>
# 
#
#Traffic signal related to LINK_ID and NODE_ID with location relative to driving direction.
#column format like pointcollection.
#DESCRIPTION->LOCATION: 1-rechts von LINK; 2-links von LINK; 3-oberhalb LINK -1-keineAngabe
#RELATREC_ID	POICOL_TYPE	DESCRIPTION	LONGITUDE	LATITUDE	LINK_ID
1078828955	12	LSA;NODEIDS#279136690#;LOCATION#-1#;	1115049	4606184	1078828955
1078828857	12	LSA;NODEIDS#279136690#;LOCATION#-1#;	1115049	4606184	1078828857
1078831871	12	LSA;NODEIDS#279136690#;LOCATION#-1#;	1115049	4606184	1078831871
1078832647	12	LSA;NODEIDS#279136690#;LOCATION#-1#;	1115049	4606184	1078832647
-191633686	12	LSA;NODEIDS#3112203896#;LOCATION#-1#;	1111599	4605732	-191633686
1078827828	12	LSA;NODEIDS#3112203896#;LOCATION#-1#;	1111599	4605732	1078827828
1078831188	12	LSA;NODEIDS#3112203896#;LOCATION#-1#;	1111599	4605732	1078831188
1078829350	12	LSA;NODEIDS#321469203#;LOCATION#-1#;	1111024	4608837	1078829350
1078828629	12	LSA;NODEIDS#321469203#;LOCATION#-1#;	1111024	4608837	1078828629
1078832370	12	LSA;NODEIDS#321469203#;LOCATION#-1#;	1111024	4608837	1078832370
-88597865	12	LSA;NODEIDS#339344066#;LOCATION#-1#;	1113005	4606104	-88597865
1078833903	12	LSA;NODEIDS#339344066#;LOCATION#-1#;	1113005	4606104	1078833903
1078828124	12	LSA;NODEIDS#339344066#;LOCATION#-1#;	1113005	4606104	1078828124
1078831412	12	LSA;NODEIDS#339344095#;LOCATION#-1#;	1112910	4606167	1078831412
1078831642	12	LSA;NODEIDS#339344095#;LOCATION#-1#;	1112910	4606167	1078831642
1078830032	12	LSA;NODEIDS#339344095#;LOCATION#-1#;	1112910	4606167	1078830032
1078830031	12	LSA;NODEIDS#339344095#;LOCATION#-1#;	1112910	4606167	1078830031
1078827255	12	LSA;NODEIDS#427459787#;LOCATION#-1#;	1113783	4603940	1078827255
1078832615	12	LSA;NODEIDS#427459787#;LOCATION#-1#;	1113783	4603940	1078832615
1078830416	12	LSA;NODEIDS#427459787#;LOCATION#-1#;	1113783	4603940	1078830416
1078832871	12	LSA;NODEIDS#445811746#;LOCATION#-1#;	1111965	4607033	1078832871
1078830834	12	LSA;NODEIDS#445811746#;LOCATION#-1#;	1111965	4607033	1078830834
1078830906	12	LSA;NODEIDS#6459326511#;LOCATION#-1#;	1111956	4607101	1078830906
1078830466	12	LSA;NODEIDS#7195443394#;LOCATION#-1#;	1110949	4607109	1078830466
1078830219	12	LSA;NODEIDS#7195443394#;LOCATION#-1#;	1110949	4607109	1078830219
1078831567	12	LSA;NODEIDS#7195443394#;LOCATION#-1#;	1110949	4607109	1078831567
-1062940871	12	LSA;NODEIDS#7195443394#;LOCATION#-1#;	1110949	4607109	-1062940871
1078832435	12	LSA;NODEIDS#7195538562#;LOCATION#-1#;	1111097	4610939	1078832435
1078828776	12	LSA;NODEIDS#7195538562#;LOCATION#-1#;	1111097	4610939	1078828776
1078830966	12	LSA;NODEIDS#889555732#;LOCATION#-1#;	1112592	4606618	1078830966
1078830014	12	LSA;NODEIDS#9194605#;LOCATION#-1#;	1112487	4606094	1078830014
1078831203	12	LSA;NODEIDS#9194605#;LOCATION#-1#;	1112487	4606094	1078831203
1078830923	12	LSA;NODEIDS#9203195#;LOCATION#-1#;	1112978	4605274	1078830923
1078834148	12	LSA;NODEIDS#9203195#;LOCATION#-1#;	1112978	4605274	1078834148
-97121843	12	LSA;NODEIDS#9203195#;LOCATION#-1#;	1112978	4605274	-97121843
1078831155	12	LSA;NODEIDS#9891646724#;LOCATION#-1#;	1112102	4607353	1078831155
1078833365	12	LSA;NODEIDS#9891646724#;LOCATION#-1#;	1112102	4607353	1078833365
1078827678	12	LSA;NODEIDS#9891646736#;LOCATION#-1#;	1112778	4607156	1078827678
1078830946	12	LSA;NODEIDS#9891646736#;LOCATION#-1#;	1112778	4607156	1078830946
122270319	12	LSA;NODEIDS#9891646736#;LOCATION#-1#;	1112778	4607156	122270319
829951748	12	LSA;NODEIDS#9891646742#;LOCATION#-1#;	1112757	4606906	829951748
823407788	12	LSA;NODEIDS#9891646742#;LOCATION#-1#;	1112757	4606906	823407788
1078831508	12	LSA;NODEIDS#9891646742#;LOCATION#-1#;	1112757	4606906	1078831508
-829951745	12	LSA;NODEIDS#9891646742#;LOCATION#-1#;	1112757	4606906	-829951745
1078833377	12	LSA;NODEIDS#9891646824#;LOCATION#-1#;	1112571	4606234	1078833377
1078831358	12	LSA;NODEIDS#9891646824#;LOCATION#-1#;	1112571	4606234	1078831358
1078829457	12	LSA;NODEIDS#9891646824#;LOCATION#-1#;	1112571	4606234	1078829457
229137174	12	LSA;NODEIDS#9891646827#;LOCATION#-1#;	1112363	4607717	229137174
227756257	12	LSA;NODEIDS#9891646827#;LOCATION#-1#;	1112363	4607717	227756257
1078833406	12	LSA;NODEIDS#9891646889#;LOCATION#-1#;	1111965	4607008	1078833406
1078830835	12	LSA;NODEIDS#9891646889#;LOCATION#-1#;	1111965	4607008	1078830835
1078828590	12	LSA;NODEIDS#9891646889#;LOCATION#-1#;	1111965	4607008	1078828590
97111253	12	LSA;NODEIDS#9891646911#;LOCATION#-1#;	1112260	4607586	97111253
-49577096	12	LSA;NODEIDS#9891646911#;LOCATION#-1#;	1112260	4607586	-49577096
1078830642	12	LSA;NODEIDS#9891646911#;LOCATION#-1#;	1112260	4607586	1078830642
1078828080	12	LSA;NODEIDS#9891646913#;LOCATION#-1#;	1112513	4607450	1078828080
-24772501	12	LSA;NODEIDS#9891646913#;LOCATION#-1#;	1112513	4607450	-24772501
1078830831	12	LSA;NODEIDS#9891646913#;LOCATION#-1#;	1112513	4607450	1078830831
1078833362	12	LSA;NODEIDS#9891646913#;LOCATION#-1#;	1112513	4607450	1078833362
240607362	12	LSA;NODEIDS#9891646958#;LOCATION#-1#;	1112479	4607219	240607362
1078831182	12	LSA;NODEIDS#9891646958#;LOCATION#-1#;	1112479	4607219	1078831182
1078834010	12	LSA;NODEIDS#9891646958#;LOCATION#-1#;	1112479	4607219	1078834010
1062940871	12	LSA;NODEIDS#9891647001#;LOCATION#-1#;	1110893	4607148	1062940871
1078827097	12	LSA;NODEIDS#9891647001#;LOCATION#-1#;	1110893	4607148	1078827097
1078828664	12	LSA;NODEIDS#9891647001#;LOCATION#-1#;	1110893	4607148	1078828664
